,Petisco Natural Sabor Cordeiro - 80g,Petisco Natural Sabor Frango com Batata Doce - 100g,Petisco Natural Sabor Steak Prime - 100g,Petisco Natural Sabor Tilápia - 80g,Petí BSF é Calm 94g - Petisco Natural,Petí Mini - Petisco Natural Sabor Cordeiro - 20g,Petí Mini - Petisco Natural Sabor Frango com Batata Doce - 20g,Petí Mini - Petisco Natural Sabor Steak Prime - 20g,Petí Mini - Petisco Natural Sabor Tilápia - 20g,Petí Stick - Mordedor de madeira de café (20cm),Petí Tronquinho - Mordedor de madeira de café (25cm)
Saldo Atual,537.0,470.0,648.0,450.0,1738.0,550.0,578.0,558.0,532.0,318.0,209.0
2025-12-31 00:00:00,371.85769452852355,330.0,402.5609756097561,325.9305580102436,1482.7401520467422,505.7142872703826,529.000001552644,505.3809543181312,484.28571583559733,170.63414634146343,137.90243902439025
2026-01-31 00:00:00,220.05423057821426,190.0,152.58536585365852,217.39040320093298,1240.6976817460827,461.4285745407652,480.000003105288,452.76190863626243,436.57143167119466,20.48780487804882,65.46341463414635
2026-02-28 00:00:00,35.93703591198121,50.0,-101.92682926829269,85.7318480886185,1026.7361247860902,417.14286181114784,431.000004657932,400.14286295439365,388.857147506792,-132.43902439024384,-8.317073170731703
2026-03-31 00:00:00,-116.87969886647238,-90.0,-360.9756097560976,-65.62042230044548,792.3398022472707,372.85714908153045,382.000006210576,347.52381727252487,341.1428633423893,-288.14634146341456,-83.4390243902439
2026-04-30 00:00:00,-301.6723022404126,-230.0,-624.5609756097562,-198.0187204828094,522.6451784415556,328.57143635191306,333.00000776321997,294.9047715906561,293.42857917798665,-446.6341463414633,-159.90243902439025
2026-05-31 00:00:00,-465.81022627381213,-370.0,-892.6829268292684,-314.88773148472757,266.1679322884387,284.2857236222957,284.00000931586396,242.28572590878727,245.71429501358398,-607.9024390243901,-237.70731707317074
